+8,746,ั 3์/๑,+7,749,ั 3์/๑
+10,753,ั 2์/๑,+7,755,ั 2์/๑
+12,757,ัว 2์/๑,+10,758,ัว 2์/๑
+14,760,ย 1์/๑,+11,760,ย 1์/๑
+14,762,ัย 2์/๑,+10,762,ัย 2์/๑
+14,763,ย 2์/๑,+10,763,ย 2์/๑
+15,762,ย 2์/๑,+9,761,ย 2์/๑
+15,759,ย 2์/๑,+10,759,ย 2์/๑
+15,757,ย 1์/๑,+11,756,ย 1์/๑
+13,753,ุ,+10,753,ุ
+10,751,ั 3์/๑,+6,752,ั 3์/๑
+6,753,ั 2์/๑,+3,752,ั 2์/๑
+7,752,Þย 1์/๑,+5,751,Þย 1์/๑
+14,747,Þว 4์/๑,+12,748,Þว 4์/๑
+14,749,Þว 3์/๑,+12,750,Þว 3์/๑
+15,752,Þ 2์/๑,+10,753,Þ 2์/๑
+17,753,Þ 1์/๑,+11,753,Þ 1์/๑
+20,754,Þว 3์/๑,+15,755,Þว 3์/๑
+21,756,Þ 2์/๑,+14,757,Þ 2์/๑
+21,756,Þ 2์/๑,+15,756,Þ 2์/๑
+21,755,ุ,+15,755,ุ
+21,752,ุ,+14,752,ุ
+21,748,ว 1์/๑,+15,747,ว 1์/๑
+9,746,ั 3์/๑,+7,747,ั 3์/๑
+6,752,ว 3์/๑,+3,753,ว 3์/๑
+5,753,ุ,+5,753,ุ
+7,744,Þว 4์/๑,+8,741,Þว 4์/๑
+12,741,ว 2์/๑,+9,741,ว 2์/๑
+12,745,ว 4์/๑,+8,747,ว 4์/๑
+13,742,Þว 4์/๑,+11,742,Þว 4์/๑
+10,749,ัว 2์/๑,+5,750,ัว 2์/๑
+11,752,Þว 1์/๑,+9,752,Þว 1์/๑
+10,753,Þ 2์/๑,+8,751,Þ 2์/๑
+7,749,Þว 2์/๑,+7,750,Þว 2์/๑
+8,747,Þ 2์/๑,+6,744,Þ 2์/๑
+8,748,ั 2์/๑,+6,751,ั 2์/๑
+9,756,ว 2์/๑,+7,756,ว 2์/๑
+11,756,ว 2์/๑,+8,756,ว 2์/๑
+11,756,ว 3์/๑,+7,757,ว 3์/๑
+8,762,ั 2์/๑,+4,763,ั 2์/๑
+9,762,ุ,+5,762,ุ
+9,758,Þว 3์/๑,+5,758,Þว 3์/๑
+8,759,Þว 2์/๑,+5,759,Þว 2์/๑
+9,760,Þว 2์/๑,+6,760,Þว 2์/๑
+11,762,Þว 1์/๑,+7,762,Þว 1์/๑
+13,762,Þ 1์/๑,+8,761,Þ 1์/๑
+13,759,Þว 3์/๑,+8,758,Þว 3์/๑
+11,754,Þ 2์/๑,+9,751,Þ 2์/๑
+6,749,ัว 2์/๑,+3,751,ัว 2์/๑
+4,751,ว 4์/๑,+2,753,ว 4์/๑
+6,746,Þ 4์/๑,+4,743,Þ 4์/๑
+2,743,ัว 2์/๑,+1,745,ัว 2์/๑
-1,754,ั 2์/๑,-1,756,ั 2์/๑
-1,755,ัว 2์/๑,+1,758,ัว 2์/๑
+2,762,ว 2์/๑,+1,760,ว 2์/๑
+5,757,ว 4์/๑,+3,758,ว 4์/๑
+4,759,ว 2์/๑,+4,759,ว 2์/๑
+7,758,ว 3์/๑,+3,759,ว 3์/๑
+7,761,Þว 2์/๑,+3,761,Þว 2์/๑
+4,760,ุ,+1,759,ุ
+6,753,ย 2์/๑,+4,751,ย 2์/๑
+4,748,Þ 2์/๑,+5,750,Þ 2์/๑
+6,746,Þว 2์/๑,+5,747,Þว 2์/๑
+7,745,Þ 5์/๑,+7,746,Þ 5์/๑
+1,744,Þว 5์/๑,+1,745,Þว 5์/๑
0,741,Þว 3์/๑,0,740,Þว 3์/๑
+4,735,Þว 4์/๑,+5,736,Þว 4์/๑
+7,743,Þ 3์/๑,+9,744,Þ 3์/๑
+10,743,ย 4์/๑,+8,743,ย 4์/๑
+4,752,ย 1์/๑,+1,753,ย 1์/๑
+1,759,Þว 2์/๑,0,758,Þว 2์/๑
0,749,Þย 2์/๑,+1,744,Þย 2์/๑
+1,743,ว 1์/๑,-1,744,ว 1์/๑
+1,753,Þว 3์/๑,+1,756,Þว 3์/๑
+2,760,Þว 2์/๑,+2,761,Þว 2์/๑
+2,764,ุ,+2,764,ุ
+3,765,ัย 2์/๑,0,765,ัย 2์/๑
+1,762,ย 3์/๑,0,762,ย 3์/๑
+1,762,ย 2์/๑,+1,763,ย 2์/๑
0,760,Þ 2์/๑,0,759,Þ 2์/๑
+2,758,ว 1์/๑,+2,756,ว 1์/๑
+2,754,Þ 3์/๑,+3,754,Þ 3์/๑
+4,753,Þ 2์/๑,+4,753,Þ 2์/๑
+5,750,ย 2์/๑,+2,750,ย 2์/๑
+3,751,ย 2์/๑,+1,750,ย 2์/๑
0,753,ย 1์/๑,0,754,ย 1์/๑
0,759,ุ,0,761,ุ
0,761,ั 2์/๑,-2,760,ั 2์/๑
-3,754,ว 3์/๑,-3,755,ว 3์/๑
-4,759,ั 3์/๑,-6,762,ั 3์/๑
-8,761,ัว 1์/๑,-8,759,ัว 1์/๑
-9,759,ั 2์/๑,-9,759,ั 2์/๑
-7,763,ัย 2์/๑,-9,765,ัย 2์/๑
-10,766,ุ,-13,766,ุ
-13,765,ุ,-14,765,ุ
-13,765,ุ,-14,764,ุ
-12,763,ุ,-16,763,ุ
-11,762,ุ,-12,761,ุ
-12,761,ย 1์/๑,-12,761,ย 1์/๑
-9,760,ย 3์/๑,-10,760,ย 3์/๑
-9,763,ย 3์/๑,-8,765,ย 3์/๑
-8,768,ุ,-11,768,ุ
-9,762,ว 1์/๑,-12,759,ว 1์/๑
-8,752,Þว 2์/๑,-10,751,Þว 2์/๑
-8,753,ุ,-8,755,ุ
-8,759,Þว 2์/๑,-10,759,Þว 2์/๑
-8,756,Þ 2์/๑,-12,755,Þ 2์/๑
-10,747,Þ 2์/๑,-12,744,Þ 2์/๑
-8,740,Þ 2์/๑,-9,741,Þ 2์/๑
-14,745,ว 2์/๑,-16,747,ว 2์/๑
-16,747,ย 2์/๑,-13,745,ย 2์/๑
-12,748,Þย 1์/๑,-13,748,Þย 1์/๑
-15,748,ว 1์/๑,-18,750,ว 1์/๑
-16,751,ว 2์/๑,-16,753,ว 2์/๑
-15,756,Þ 2์/๑,-17,756,Þ 2์/๑
-13,745,Þย 2์/๑,-13,744,Þย 2์/๑
-16,747,ย 2์/๑,-16,747,ย 2์/๑
-20,750,ั 3์/๑,-22,750,ั 3์/๑
-18,751,ว 1์/๑,-20,751,ว 1์/๑
-16,749,Þ 2์/๑,-12,746,Þ 2์/๑
-4,746,Þว 3์/๑,-6,749,Þว 3์/๑
-2,753,Þว 1์/๑,-2,753,Þว 1์/๑
-5,748,Þ 2์/๑,-2,750,Þ 2์/๑
-4,757,ั 3์/๑,-5,758,ั 3์/๑
-7,756,ย 5์/๑,-7,753,ย 5์/๑
-5,753,ุ,-8,753,ุ
-7,753,Þ 2์/๑,-7,755,Þ 2์/๑
-5,759,ุ,-5,761,ุ
-7,763,Þว 1์/๑,-8,763,Þว 1์/๑
-7,759,Þ 3์/๑,-11,758,Þ 3์/๑
-7,753,ย 3์/๑,-8,753,ย 3์/๑
-4,754,Þ 1์/๑,-8,754,Þ 1์/๑
-6,756,ย 1์/๑,-8,756,ย 1์/๑
-4,755,ย 1์/๑,-8,755,ย 1์/๑
-5,754,Þว 1์/๑,-9,753,Þว 1์/๑
-7,751,ุ,-12,751,ุ
-9,751,ย 2์/๑,-10,753,ย 2์/๑
-8,753,ย 2์/๑,-8,753,ย 2์/๑
-6,753,ัว 1์/๑,-10,754,ัว 1์/๑
-8,754,ว 1์/๑,-11,752,ว 1์/๑
-8,747,ว 2์/๑,-11,749,ว 2์/๑
-8,748,Þว 4์/๑,-11,753,Þว 4์/๑
-5,741,ว 3์/๑,-4,742,ว 3์/๑
-7,744,ย 2์/๑,-11,744,ย 2์/๑
-17,747,ัว 2์/๑,-18,750,ัว 2์/๑
-11,753,ุ,-10,754,ุ
-6,756,Þว 2์/๑,-12,756,Þว 2์/๑
-8,755,ย 2์/๑,-11,755,ย 2์/๑
-4,754,ย 3์/๑,-7,753,ย 3์/๑
-5,754,Þย 2์/๑,-5,754,Þย 2์/๑
-5,751,Þย 3์/๑,-7,751,Þย 3์/๑
-2,756,ุ,-3,756,ุ
-2,756,ย 2์/๑,-5,756,ย 2์/๑
-2,756,ย 3์/๑,-7,756,ย 3์/๑
-3,756,ย 2์/๑,-4,756,ย 2์/๑
-3,755,ย 1์/๑,-7,756,ย 1์/๑
-3,756,ย 2์/๑,-4,756,ย 2์/๑
-3,762,ย 3์/๑,-9,765,ย 3์/๑
-8,767,ย 3์/๑,-11,765,ย 3์/๑
-8,761,ย 3์/๑,-12,761,ย 3์/๑
-7,759,ย 1์/๑,-9,760,ย 1์/๑
-4,760,ย 1์/๑,-8,760,ย 1์/๑
-5,757,ย 2์/๑,-10,756,ย 2์/๑
-5,754,Þย 1์/๑,-7,753,Þย 1์/๑
-5,753,Þย 2์/๑,-5,753,Þย 2์/๑
-3,750,ย 3์/๑,-4,749,ย 3์/๑
+1,745,ย 4์/๑,-3,745,ย 4์/๑
-1,742,ย 5์/๑,-2,741,ย 5์/๑
-1,750,Þ 1์/๑,-5,751,Þ 1์/๑
+1,750,ัว 2์/๑,-5,750,ัว 2์/๑
0,751,ุ,-5,752,ุ
-2,751,ุ,-6,753,ุ
-2,756,ัย 1์/๑,-5,756,ัย 1์/๑
-3,757,ย 2์/๑,-6,756,ย 2์/๑
-3,751,ย 5์/๑,-4,748,ย 5์/๑
+1,741,Þว 2์/๑,0,744,Þว 2์/๑
+1,747,Þ 3์/๑,0,748,Þ 3์/๑
+1,747,ย 1์/๑,0,744,ย 1์/๑
0,750,ว 3์/๑,-2,751,ว 3์/๑
-1,751,ั 2์/๑,-6,753,ั 2์/๑
-2,755,ั 2์/๑,-6,755,ั 2์/๑
+2,757,ั 2์/๑,-5,756,ั 2์/๑
+1,753,ว 1์/๑,-4,753,ว 1์/๑
+2,752,ว 1์/๑,-4,753,ว 1์/๑
+1,756,ุ,-3,756,ุ
+2,753,ว 1์/๑,-3,753,ว 1์/๑
+3,745,Þ 2์/๑,-1,742,Þ 2์/๑
+1,727,Þ 3์/๑,0,731,Þ 3์/๑
-1,737,Þว 3์/๑,-5,741,Þว 3์/๑
-1,744,ย 3์/๑,-3,741,ย 3์/๑
+5,741,ัว 1์/๑,-1,743,ัว 1์/๑
+7,743,ย 2์/๑,+4,744,ย 2์/๑
+3,750,ุ,+1,751,ุ
+12,754,Þย 1์/๑,+8,755,Þย 1์/๑
+11,759,Þย 1์/๑,+9,759,Þย 1์/๑
+16,761,Þย 1์/๑,+11,759,Þย 1์/๑
+16,756,Þว 4์/๑,+11,756,Þว 4์/๑
+16,749,Þว 4์/๑,+12,747,Þว 4์/๑
+6,741,Þว 2์/๑,+3,740,Þว 2์/๑
+1,741,ัว 4์/๑,0,743,ัว 4์/๑
+1,740,ัย 1์/๑,0,742,ัย 1์/๑
+2,747,ัว 3์/๑,-1,748,ัว 3์/๑
+4,747,Þว 1์/๑,+2,746,Þว 1์/๑
+4,738,ว 4์/๑,+1,744,ว 4์/๑
+1,751,ัว 3์/๑,-2,753,ัว 3์/๑
0,755,ั 3์/๑,-2,756,ั 3์/๑
+2,755,ั 4์/๑,-1,756,ั 4์/๑
+6,753,ั 5์/๑,+2,754,ั 5์/๑
+7,755,ัว 3์/๑,+3,756,ัว 3์/๑
+9,752,ัว 2์/๑,+5,751,ัว 2์/๑
+9,751,Þ 1์/๑,+6,750,Þ 1์/๑
+12,750,Þ 3์/๑,+8,749,Þ 3์/๑
+14,748,Þว 4์/๑,+10,747,Þว 4์/๑
+3,750,ัย 3์/๑,0,750,ัย 3์/๑
+16,742,Þ 7์/๑,+14,741,Þ 7์/๑
+2,741,ุ,+2,741,ุ
+3,738,ั 3์/๑,+1,740,ั 3์/๑
+4,738,ัว 2์/๑,0,738,ัว 2์/๑
0,742,ว 2์/๑,-2,744,ว 2์/๑
+4,744,ว 3์/๑,+3,746,ว 3์/๑
+9,750,Þว 2์/๑,+7,749,Þว 2์/๑
+8,749,ั 4์/๑,+7,749,ั 4์/๑
+10,750,ัว 2์/๑,+6,752,ัว 2์/๑
+21,747,ว 3์/๑,+15,747,ว 3์/๑
+23,750,ว 2์/๑,+19,749,ว 2์/๑
+24,746,Þว 5์/๑,+17,745,Þว 5์/๑
+26,743,Þว 2์/๑,+20,742,Þว 2์/๑
+12,743,ั 3์/๑,+6,745,ั 3์/๑
+13,749,ั 3์/๑,+10,750,ั 3์/๑
+19,749,ัว 3์/๑,+13,750,ัว 3์/๑
+21,749,Þว 4์/๑,+18,750,Þว 4์/๑
+24,749,Þว 2์/๑,+17,750,Þว 2์/๑
+23,750,Þ 2์/๑,+19,749,Þ 2์/๑
+22,745,Þย 4์/๑,+18,744,Þย 4์/๑
+25,743,ย 1์/๑,+18,744,ย 1์/๑
+20,743,ย 3์/๑,+16,744,ย 3์/๑
+24,747,ั 2์/๑,+17,750,ั 2์/๑
+24,750,ว 3์/๑,+16,750,ว 3์/๑
+21,750,Þย 1์/๑,+15,750,Þย 1์/๑
+21,744,ย 2์/๑,+15,743,ย 2์/๑
+19,743,Þว 2์/๑,+15,744,Þว 2์/๑
+15,744,ว 3์/๑,+11,744,ว 3์/๑
+12,743,ว 3์/๑,+9,743,ว 3์/๑
+10,747,ว 2์/๑,+8,748,ว 2์/๑
+11,750,Þว 2์/๑,+9,749,Þว 2์/๑
+12,746,ัว 3์/๑,+11,745,ัว 3์/๑
+19,747,ั 3์/๑,+14,748,ั 3์/๑
+16,747,ว 4์/๑,+11,747,ว 4์/๑
+16,751,ั 2์/๑,+10,753,ั 2์/๑
+17,751,Þ 2์/๑,+14,750,Þ 2์/๑
+23,744,Þ 4์/๑,+17,744,Þ 4์/๑
+11,738,Þย 4์/๑,+13,741,Þย 4์/๑
+18,743,Þว 2์/๑,+13,744,Þว 2์/๑
+22,747,ั 2์/๑,+17,749,ั 2์/๑
+24,751,Þว 1์/๑,+16,752,Þว 1์/๑
